                      sourcefile                        sourceline                class                 count
------------------------------------------------------  ----------  ----------------------------------  -----
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                              240204
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                              240204
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                              240204
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            234  String                              80008
<PWD>/helpers/reader.rb                                         21  String                              65920
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               69  Array                               40004
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               99  Hash                                40004
<PWD>/helpers/reader.rb                                         19  String                              32960
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    76  Bignum                              30003
<PWD>/crawler.rb                                               199  String                              30003
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                       9  Array                               20002
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   191  Hash                                20002
<GEM:ethon-0.6.1>/lib/ethon/easy/http.rb                        56  String                              20002
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     108  FFI::Pointer                        20002
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              54  String                              20002
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          95  Array                               20002
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Array                               10502
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Ethon::Curl::Msg                    10502
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          90  Array                               10022
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          83  FFI::AutoPointer::CallableReleaser  10022
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   25  String                              10021
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   27  Ethon::Easy::DebugInfo              10021
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   26  String                              10021
<GEM:ethon-0.6.1>/lib/ethon/easy/debug_info.rb                  22  Array                               10021
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          73  Array                               10002
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          41  Array                               10002
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             22  Hash                                10001
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                146  Proc                                10001
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                      17  Hash                                10001
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                       8  Array                               10001
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  Ethon::Curl::MsgData                10001
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                144  FFI::Pointer                        10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               67  Hash                                10001
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                      21  Ethon::Easy::Mirror                 10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               89  Typhoeus::Response                  10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          90  Array                               10001
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  FFI::Pointer                        10001
<GEM:ethon-0.6.1>/lib/ethon/easy/http.rb                        59  Ethon::Easy::Http::Get              10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          98  Array                               10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/response/status.rb            69  Array                               10001
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  Array                               10001
<PWD>/crawler.rb                                               199  Array                               10001
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      31  FFI::AutoPointer                    10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               88  RubyVM::Env                         10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               88  Proc                                10001
<GEM:ethon-0.6.1>/lib/ethon/easy/response_callbacks.rb          32  Array                               10001
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             52  Ethon::Easy::Params                 10001
<GEM:ethon-0.6.1>/lib/ethon/easy/params.rb                      24  Hash                                10001
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             62  Ethon::Easy::Form                   10001
<GEM:ethon-0.6.1>/lib/ethon/easy/form.rb                        26  Hash                                10001
<PWD>/crawler.rb                                                76  RubyVM::Env                         10001
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      56  String                              10001
<GEM:ethon-0.6.1>/lib/ethon/easy/util.rb                        20  String                              10001
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      27  FFI::Pointer                        10001
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      31  Method                              10001
<PWD>/crawler.rb                                                44  Typhoeus::Request                   10001
<PWD>/crawler.rb                                                45  Hash                                10001
<PWD>/crawler.rb                                                46  Hash                                10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   113  Hash                                10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/addable.rb              19  Typhoeus::EasyFactory               10001
<PWD>/crawler.rb                                                76  Proc                                10001
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  FFI::Pointer                        10001
<RUBYLIBDIR>/benchmark.rb                                      492  String                                708
<RUBYLIBDIR>/benchmark.rb                                      487  String                                708
<RUBYLIBDIR>/benchmark.rb                                      488  String                                708
<RUBYLIBDIR>/benchmark.rb                                      491  String                                708
runner.rb                                                       23  String                                505
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                159  FFI::MemoryPointer                    501
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                146  RubyVM::Env                           501
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                139  FFI::MemoryPointer                    501
runner.rb                                                       30  String                                404
<PWD>/crawler.rb                                               179  String                                303
<PWD>/crawler.rb                                               141  String                                303
<PWD>/crawler.rb                                               155  String                                303
<PWD>/crawler.rb                                               144  String                                303
<PWD>/crawler.rb                                               143  String                                303
<RUBYLIBDIR>/benchmark.rb                                      487  MatchData                             202
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/runnable.rb             17  Array                                 202
<RUBYLIBDIR>/benchmark.rb                                      491  MatchData                             202
<RUBYLIBDIR>/benchmark.rb                                      500  Array                                 101
<PWD>/crawler.rb                                               141  Array                                 101
<RUBYLIBDIR>/benchmark.rb                                      488  MatchData                             101
<PWD>/crawler.rb                                               146  String                                101
<PWD>/crawler.rb                                               143  Array                                 101
<RUBYLIBDIR>/benchmark.rb                                      492  MatchData                             101
<RUBYLIBDIR>/benchmark.rb                                      485  String                                101
<RUBYLIBDIR>/benchmark.rb                                      278  Process::Tms                          101
<PWD>/crawler.rb                                               155  Array                                 101
runner.rb                                                       25  Range                                 101
<RUBYLIBDIR>/benchmark.rb                                      280  Process::Tms                          101
runner.rb                                                       25  Array                                 101
<RUBYLIBDIR>/benchmark.rb                                      278  Time                                  101
<RUBYLIBDIR>/benchmark.rb                                      281  Benchmark::Tms                        101
<PWD>/crawler.rb                                               179  Array                                 101
<RUBYLIBDIR>/benchmark.rb                                      277  String                                101
<PWD>/crawler.rb                                               147  String                                101
<PWD>/crawler.rb                                               144  Array                                 101
<RUBYLIBDIR>/benchmark.rb                                      280  Time                                  101
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  FFI::Function                          60
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   37  RubyVM::Env                            20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   50  RubyVM::Env                            20
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  FFI::AutoPointer                       20
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  Method                                 20
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  FFI::Pointer                           20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   37  Proc                                   20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  RubyVM::Env                            20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   50  Proc                                   20
<GEM:typhoeus-0.6.6>/lib/typhoeus/pool.rb                       32  Ethon::Easy                            20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  Proc                                   20
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            216  Hash                                   20
<PWD>/helpers/reader.rb                                         13  String                                  3
<PWD>/crawler.rb                                                21  String                                  2
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Ethon::Curl::FDSet                      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/expectation.rb                61  Array                                   1
runner.rb                                                       13  Array                                   1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/queueable.rb            17  Array                                   1
<PWD>/helpers/reader.rb                                         20  Array                                   1
runner.rb                                                       43  String                                  1
runner.rb                                                       43  Hash                                    1
runner.rb                                                       43  Runner                                  1
runner.rb                                                        8  Hash                                    1
runner.rb                                                        8  YelpSync                                1
<PWD>/crawler.rb                                                 9  String                                  1
<PWD>/crawler.rb                                                11  String                                  1
<PWD>/crawler.rb                                                11  Hash                                    1
<PWD>/crawler.rb                                                12  String                                  1
<PWD>/crawler.rb                                                12  Hash                                    1
<PWD>/crawler.rb                                                 9  Hash                                    1
<PWD>/crawler.rb                                                15  DebugHelper                             1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::AutoPointer                        1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  Method                                  1
