                      sourcefile                        sourceline                class                         method_id           count
------------------------------------------------------  ----------  ----------------------------------  --------------------------  -----
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                              to_s                        160136
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                              set_option                  80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                              downcase                    80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                              set_option                  80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                              to_s                        80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                              set_option                  80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                              to_s                        80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                              downcase                    80068
<PWD>/helpers/reader.rb                                         21  String                              strip                       65920
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            234  String                              set_attributes              40004
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            234  String                              to_s                        40004
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               69  Array                               sanitize                    40004
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               99  Hash                                core#hash_from_ary          40004
<PWD>/helpers/reader.rb                                         19  String                              readlines                   32960
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              54  String                              get_string                  20002
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          95  Array                               execute_callbacks           20002
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     108  FFI::Pointer                        read_pointer                20002
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                       9  Array                               informations_to_mirror      20002
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    76  Bignum                              <<                          20002
<PWD>/crawler.rb                                               199  String                              handle_response             20002
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Ethon::Curl::Msg                    from_native                 10502
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Array                               initialize                  10502
