                      sourcefile                        sourceline                class                         method_id           memsize  count
------------------------------------------------------  ----------  ----------------------------------  --------------------------  -------  -----
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                              to_s                              0  160136
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                              downcase                          0  80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                              set_option                        0  80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                              to_s                              0  80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                              downcase                          0  80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                              set_option                        0  80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                              to_s                              0  80068
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                              set_option                        0  70047
<PWD>/helpers/reader.rb                                         21  String                              strip                            78  63136
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            234  String                              to_s                              0  40004
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            234  String                              set_attributes                    0  40004
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               99  Hash                                core#hash_from_ary              808  40004
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               69  Array                               sanitize                          0  40004
<PWD>/helpers/reader.rb                                         19  String                              readlines                         0  32960
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     108  FFI::Pointer                        read_pointer                      0  20002
<PWD>/crawler.rb                                               201  String                              handle_response                   0  20002
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    76  Bignum                              <<                                0  20002
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          95  Array                               execute_callbacks                 0  20002
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Array                               initialize                        0  10502
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Ethon::Curl::Msg                    from_native                       0  10502
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          83  FFI::AutoPointer::CallableReleaser  new                               0  10022
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          90  Array                               define_finalizer                  0  10022
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   26  String                              set_callbacks                     0  10021
<GEM:ethon-0.6.1>/lib/ethon/easy/debug_info.rb                  22  Array                               initialize                        0  10021
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                              set_option                       49  10021
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   25  String                              set_callbacks                     0  10021
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   27  Ethon::Easy::DebugInfo              new                               0  10021
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          73  Array                               on_failure                        0  10002
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          41  Array                               on_complete                       0  10002
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             62  Ethon::Easy::Form                   new                               0  10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               88  Proc                                set_callback                     72  10001
<GEM:ethon-0.6.1>/lib/ethon/easy/response_callbacks.rb          32  Array                               on_complete                       0  10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/addable.rb              19  Typhoeus::EasyFactory               new                               0  10001
