                     sourcefile                        sourceline                class                 count
-----------------------------------------------------  ----------  ----------------------------------  -----
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                30  Ethon::Curl::FDSet                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                29  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                29  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                29  Ethon::Curl::FDSet                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                28  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                28  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                28  Ethon::Curl::FDSet                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                27  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                27  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                27  Ethon::Curl::Timeval                   20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                26  FFI::MemoryPointer                     20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                     92  Ethon::Multi                           20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                     92  Hash                                   20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                     89  Hash                                   20
typhoeus_test.rb                                               10  Typhoeus::Hydra                        20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/memoizable.rb          21  Hash                                   20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb               141  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb               141  Ethon::Curl::Msg                       20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb               139  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                30  Array                                  20
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                         83  FFI::AutoPointer::CallableReleaser     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                16  FFI::AutoPointer                       20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                16  Method                                 20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                16  FFI::Pointer                           20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb               159  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/stack.rb                     14  Array                                  20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/queueable.rb           17  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                31  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                30  FFI::MemoryPointer                     20
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                         90  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/curl.rb                            62  String                                  1
<RUBYLIBDIR>/monitor.rb                                       241  Mutex                                   1
<RUBYLIBDIR>/logger.rb                                        545  Array                                   1
<RUBYLIBDIR>/logger.rb                                        545  Logger::LogDevice::LogDeviceMutex       1
<RUBYLIBDIR>/logger.rb                                        318  Logger::LogDevice                       1
<RUBYLIBDIR>/logger.rb                                        318  Hash                                    1
<RUBYLIBDIR>/logger.rb                                        314  Logger::Formatter                       1
<GEM:ethon-0.6.1>/lib/ethon/loggable.rb                        42  Logger                                  1
