                      sourcefile                        sourceline                class                 count
------------------------------------------------------  ----------  ----------------------------------  -----
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                               3090
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                               3090
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                               3090
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                171  FFI::Pointer                         3000
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              52  String                               2800
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     138  Float                                1200
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                144  FFI::Pointer                          612
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Ethon::Curl::Msg                      518
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Array                                 518
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              54  String                                400
<GEM:ethon-0.6.1>/lib/ethon/easy/http.rb                        56  String                                400
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     108  FFI::Pointer                          400
typhoeus_test.rb                                                14  String                                400
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            234  String                                400
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                       9  Array                                 400
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          95  Array                                 400
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                139  FFI::MemoryPointer                    318
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                159  FFI::MemoryPointer                    318
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          83  FFI::AutoPointer::CallableReleaser    230
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          90  Array                                 230
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   26  String                                210
<GEM:ethon-0.6.1>/lib/ethon/easy/debug_info.rb                  22  Array                                 210
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   27  Ethon::Easy::DebugInfo                210
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   25  String                                210
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          41  Array                                 201
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          73  Array                                 201
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               88  Proc                                  200
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  Array                                 200
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  Ethon::Curl::MsgData                  200
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  FFI::Pointer                          200
