The Velvet Touch Moving & Storage	(212) 253-6653	2417 3rd AveBronx, NY 10451	4		Accepts Credit Cards:No		2	yelp.com/biz/the-velvet-touch-moving-and-storage-bronx
Judith Moves You	(917) 592-9323	New York, NY 10023Serving New York and surrounding area	1	judithmovesyou.com			5	yelp.com/biz/judith-moves-you-new-york
Moving Zone	(718) 788-5500	"56 48th StreetBrooklyn, NY 11232
            Neighborhood: Sunset Park"	1	movingzone.com	Accepts Credit Cards:Yes		4	yelp.com/biz/moving-zone-brooklyn
Man With a Van	(888) 482-1083	"New York, NY 10079
            Neighborhoods: Greenwich Village, Union Square"	9	manwithavan.net	Accepts Credit Cards:No		2	yelp.com/biz/man-with-a-van-new-york
Velocity Moving and Storage	(212) 666-3030	2417 3rd AveBronx, NY 10451Serving Bronx and surrounding area	3	velocitymoving.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 5 pm	4.5	yelp.com/biz/velocity-moving-and-storage-bronx-2
B&H Moving and Storage Inc.	(888) 666-6382	"7526 Ave T2nd FlBrooklyn, NY 11234Serving Brooklyn and surrounding area
            Neighborhood: Bergen Beach"	1	bh-moving.com	Accepts Credit Cards:Yes	Mon-Fri, Sun 9 am - 10 pmSat 8 pm - 10 pm	3	yelp.com/biz/b-and-h-moving-and-storage-inc-brooklyn-3
Half Price Movers	(718) 317-5460	Staten Island, NY 10314	3	911movenow.com	Accepts Credit Cards:Yes	Mon-Sun 9 am - 5 pm	2.5	yelp.com/biz/half-price-movers-staten-island-2
Noah's Ark Moving and Storage	(914) 997-8400	252 W 38th Street Rm 1406New York, NY 10018	1				1	yelp.com/biz/noahs-ark-moving-and-storage-new-york
Advanced Relocation System	(718) 837-0493	"106 Ferris StBrooklyn, NY 11231
            Neighborhood: Red Hook"	1		Accepts Credit Cards:Yes		1	yelp.com/biz/advanced-relocation-system-brooklyn
Infinity Moving & Storage	(888) 545-8400	"175 Walnut AveBronx, NY 10462
            Neighborhood: Port Morris"	4	infinitymoving.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 6 pm	2	yelp.com/biz/infinity-moving-and-storage-bronx-3
Quality Van Lines	(888) 480-0505	"2550 Atlantic Ave        (between Alabama Ave & Williams Ave)
Brooklyn, NY 11207Serving Brooklyn and surrounding area
            Neighborhood: East New York"	4	qualityvanlines.com	Accepts Credit Cards:Yes	Mon-Fri 9 am - 6 pm	2.5	yelp.com/biz/quality-van-lines-brooklyn
Imperial Moving & Storage	(212) 879-6683	"83 Washington Pl        (at Avenue Of The Americas)
New York, NY 10011Serving New York and surrounding area
            Neighborhood: Greenwich Village"	16	imperialmoving.com	Accepts Credit Cards:Yes	Mon-Sun 6 am - 11 pm	4	yelp.com/biz/imperial-moving-and-storage-new-york-3
Shleppers Moving & Storage	(212) 223-4004	"310 Walton AveBronx, NY 10451Serving Bronx and surrounding area
            Neighborhood: Mott Haven"	49	shleppers.com	Accepts Credit Cards:Yes	Mon-Sun 8 am - 10 pm	3.5	yelp.com/biz/shleppers-moving-and-storage-bronx-2
